,fundname,isincode
2725,スマート・アロケーション・Ｄガード,JP90C0009CY8
2726,りそな日本株リサーチ戦略ファンド（オープン型）,JP90C0009D03
2727,ニッセイアメリカ高配当株ファンド（毎月決算型）,JP90C0009D11
2728,ニッセイアメリカ高配当株ファンド（年２回決算型）,JP90C0009D29
2729,ＵＳ債券ＮＢ戦略ファンド（為替ヘッジあり／年１回決算型）,JP90C0009D37
2730,ハイブリッド証券ファンドトルコリラコース,JP90C0009D45
2731,ハイブリッド証券ファンドメキシコペソコース,JP90C0009D52
2732,ＵＳ債券ＮＢ戦略ファンド（為替ヘッジなし／年１回決算型）,JP90C0009D60
2733,ダイワ／ＮＢ・米国債券戦略ファンド　為替ヘッジあり（年１回決算型）,JP90C0009D78
2734,ダイワ／ＮＢ・米国債券戦略ファンド　為替ヘッジなし（年１回決算型）,JP90C0009D86
2735,スマート・ファイブ（毎月決算型）,JP90C0009D94
2736,スマート・ファイブ（１年決算型）,JP90C0009DA6
2737,ＤＷＳ　グローバル公益債券ファンド（年１回決算型）Ｃコース（為替ヘッジあり）,JP90C0009DB4
2738,ＤＷＳ　グローバル公益債券ファンド（年１回決算型）Ｄコース（為替ヘッジなし）,JP90C0009DC2
2739,ニッセイ安定収益追求ファンド,JP90C0009DJ7
2740,バリュー・ボンド・ファンド＜為替リスク軽減型＞（毎月決算型）（愛称：みらいの港）,JP90C0009DK5
2741,バリュー・ボンド・ファンド＜為替ヘッジなし＞（毎月決算型）（愛称：みらいの港）,JP90C0009DL3
2742,バリュー・ボンド・ファンド＜為替リスク軽減型＞（年１回決算型）（愛称：みらいの港）,JP90C0009DM1
2743,バリュー・ボンド・ファンド＜為替ヘッジなし＞（年１回決算型）（愛称：みらいの港）,JP90C0009DN9
2744,中小型成長株ジャパン・オープン,JP90C0009DT6
2745,日興・米国バンクローン・ファンド（為替ヘッジあり）１３−０８,JP90C0009DU4
2746,インベスコ　日本株式アドバンテージ・ファンド,JP90C0009DX8
2747,スパークス・少数精鋭・日本株ファンド,JP90C0009E02
2748,日本株厳選ファンド・米ドルコース,JP90C0009E36
2749,日本株厳選ファンド・メキシコペソコース,JP90C0009E44
2750,日本株厳選ファンド・トルコリラコース,JP90C0009E51
2751,東京海上Ｒｏｇｇｅ世界ハイブリッド証券ファンド（通貨選択型）メキシコ・ペソコース（毎月分配型）,JP90C0009E69
2752,東京海上Ｒｏｇｇｅ世界ハイブリッド証券ファンド（通貨選択型）トルコ・リラコース（毎月分配型）,JP90C0009E77
2753,東京海上Ｒｏｇｇｅ世界ハイブリッド証券ファンド（通貨選択型）ロシア・ルーブルコース（毎月分配型）,JP90C0009E85
2754,東京海上・ニッポン世界債券ファンド（為替ヘッジあり）（年１回決算型）,JP90C0009E93
2755,ＭＨＡＭ　Ｊリートアクティブファンド（毎月決算型）,JP90C0009EA4
2756,日本金融ハイブリッド証券オープン（毎月分配型）円ヘッジありコース,JP90C0009EG1
2757,日本金融ハイブリッド証券オープン（毎月分配型）円ヘッジなしコース,JP90C0009EH9
2758,ダイワ日本国債ファンド（年１回決算型）,JP90C0009EJ5
2759,ダイワ高格付カナダドル債オープン（年１回決算型）,JP90C0009EK3
2760,通貨選択型ダイワ米国厳選株ファンド　−イーグルアイ２−　予想分配金提示型　日本円・コース,JP90C0009EL1
2761,通貨選択型ダイワ米国厳選株ファンド　−イーグルアイ２−　予想分配金提示型　豪ドル・コース,JP90C0009EM9
2762,通貨選択型ダイワ米国厳選株ファンド　−イーグルアイ２−　予想分配金提示型　ブラジル・レアル・コース,JP90C0009EN7
2763,通貨選択型ダイワ米国厳選株ファンド　−イーグルアイ２−　予想分配金提示型　米ドル・コース,JP90C0009EP2
2764,通貨選択型ダイワ米国厳選株ファンド　−イーグルアイ２−　予想分配金提示型　通貨セレクト・コース,JP90C0009EQ0
2765,ｅＭＡＸＩＳ　ＮＹダウインデックス,JP90C0009ER8
2766,ＭＨＡＭ　Ｊ―ＲＥＩＴアクティブオープン年１回決算コース,JP90C0009EZ1
2767,新光日本小型株ファンド,JP90C0009F01
2768,エマージング・ボンド・ファンド・カナダドルコース（毎月分配型）,JP90C0009F19
2769,エマージング・ボンド・ファンド・メキシコペソコース（毎月分配型）,JP90C0009F27
2770,ＥＴＦバランス・ファンド,JP90C0009F35
2771,ＳＭＢＣ・日興資産成長ナビゲーション,JP90C0009F68
2772,ロシア株式ファンド,JP90C0009F76
2773,ｉシェアーズ　国内債券インデックス・ファンド,JP90C0009FD5
2774,ｉシェアーズ　先進国債券インデックス・ファンド,JP90C0009FF0
2775,ｉシェアーズ　ハイイールド債券インデックス・ファンド,JP90C0009FK0
2776,ｉシェアーズ　国内株式インデックス・ファンド,JP90C0009FM6
2777,ｉシェアーズ　先進国株式インデックス・ファンド,JP90C0009FP9
2778,ｉシェアーズ　米国株式インデックス・ファンド,JP90C0009FQ7
2779,ｉシェアーズ　新興国株式インデックス・ファンド,JP90C0009FT1
2780,ｉシェアーズ　国内リートインデックス・ファンド,JP90C0009FW5
2781,ｉシェアーズ　先進国リートインデックス・ファンド,JP90C0009FY1
2782,ｉシェアーズ　コモディティインデックス・ファンド,JP90C0009FZ8
2783,ｉシェアーズ　ゴールドインデックス・ファンド（為替ヘッジなし）,JP90C0009G00
2784,ピムコＵＳハイインカム・ローン・ファンド（毎月分配型）為替ヘッジあり,JP90C0009G18
2785,ノムラ　ＴＨＥ　ＵＳＡ　Ｂコース,JP90C0009G26
2786,ノムラ　ＴＨＥ　ＵＳＡ　Ａコース,JP90C0009G34
2787,米国・シェールＭＬＰ・高配当株ファンド,JP90C0009G59
2788,ピムコＵＳハイインカム・ローン・ファンド（毎月分配型）為替ヘッジなし,JP90C0009G67
2789,トルコ・ボンド・オープン（年１回決算型）,JP90C0009G83
2790,Ｔ＆Ｄ日本株式投信（通貨選択型）米ドルコース,JP90C0009GC5
2791,東京海上・米国新興成長株式ファンド（愛称：グローイング・アメリカ）,JP90C0009GF8
2792,マニュライフ・変動高金利戦略ファンド　Ａコース（為替ヘッジあり・毎月）,JP90C0009GG6
2793,マニュライフ・変動高金利戦略ファンド　Ｂコース（為替ヘッジなし・毎月）,JP90C0009GH4
2794,マニュライフ・変動高金利戦略ファンド　Ｃコース（為替ヘッジあり・年２回）,JP90C0009GJ0
2795,マニュライフ・変動高金利戦略ファンド　Ｄコース（為替ヘッジなし・年２回）,JP90C0009GK8
2796,ＰＩＭＣＯ　米国ハイイールド債券　通貨選択型ファンド（トルコ・リラコース）,JP90C0009GL6
2797,ＰＩＭＣＯ　米国ハイイールド債券　通貨選択型ファンド（メキシコ・ペソコース）,JP90C0009GM4
2798,三菱ＵＦＪ　メキシコ債券オープン＜為替ヘッジなし＞（毎月決算型）,JP90C0009GN2
2799,三菱ＵＦＪ　メキシコ債券オープン＜為替アクティブヘッジ＞（毎月決算型）,JP90C0009GP7
2800,トルコ債券オープン（毎月決算型）為替アクティブヘッジ,JP90C0009GQ5
2801,ブラジル・ボンド・オープン（年１回決算型）,JP90C0009GR3
2802,シュローダー・インカムアセット・アロケーション（１年）　Ａコース,JP90C0009GS1
2803,シュローダー・インカムアセット・アロケーション（１年）　Ｂコース,JP90C0009GT9
2804,ダイワ欧州高配当株ファンド（為替ヘッジあり）,JP90C0009GU7
2805,ダイワ欧州高配当株ファンド（為替ヘッジなし）,JP90C0009GV5
2806,アジアＲＥＩＴ・リサーチ・オープン（年２回決算型）,JP90C0009GX1
2807,ニッセイ日本インカムオープン（年１回決算型）,JP90C0009H17
2808,ＭＨＡＭ米国好配当株式ファンド（毎月決算型）為替ヘッジあり,JP90C0009H25
2809,ＭＨＡＭ米国好配当株式ファンド（毎月決算型）為替ヘッジなし,JP90C0009H33
2810,ＭＨＡＭ米国好配当株式ファンド（年１回決算型）為替ヘッジあり,JP90C0009H41
2811,ＭＨＡＭ米国好配当株式ファンド（年１回決算型）為替ヘッジなし,JP90C0009H58
2812,みずほ　Ｊ―ＲＥＩＴ　ファンド（年１回決算型）,JP90C0009H66
2813,米国連続増配成長株オープン,JP90C0009H74
2814,コーポレート・ボンド・インカム（為替ヘッジ型／１年決算型）,JP90C0009H82
2815,コーポレート・ボンド・インカム（為替ノーヘッジ型／１年決算型）,JP90C0009H90
2816,ＤＷＳ　欧州ハイ・イールド債券ファンド（メキシコペソコース）（毎月分配型）,JP90C0009HA7
2817,ＤＷＳ　欧州ハイ・イールド債券ファンド（トルコリラコース）（毎月分配型）,JP90C0009HB5
2818,タフ・アメリカ（為替ヘッジあり　毎月決算型）,JP90C0009HC3
2819,タフ・アメリカ（為替ヘッジなし　毎月決算型）,JP90C0009HD1
2820,タフ・アメリカ（為替ヘッジあり　資産成長型）,JP90C0009HE9
2821,タフ・アメリカ（為替ヘッジなし　資産成長型）,JP90C0009HF6
2822,タフ・アメリカ（マネープールファンド）,JP90C0009HG4
2823,ＭＨＡＭ豪ドル債券ファンド（年１回決算型）,JP90C0009HJ8
2824,日経２２５リスクコントロールオープン,JP90C0009HK6
2825,東京海上Ｒｏｇｇｅニッポン海外債券ファンド（為替ヘッジあり）（年１回決算型）,JP90C0009HL4
2826,ハイグレード・オセアニア・ボンド・オープン（年１回決算型）,JP90C0009HM2
2827,ダイワ・ＵＳ−ＲＥＩＴ・オープン（年１回決算型）為替ヘッジなし,JP90C0009HN0
2828,メキシコ債券オープン（資産成長型）,JP90C0009HP5
2829,ダイワ米国リート・ファンド２（年１回決算型）,JP90C0009HQ3
2830,フィデリティ・日本中小型株・リサーチ・ファンド,JP90C0009J07
2831,日興・米国バンクローン・ファンド（為替ヘッジあり）１３−０９,JP90C0009J23
2832,ブラックロック・ヘルスサイエンス・ファンド（為替ヘッジなし）,JP90C0009J31
2833,ブラックロック・ヘルスサイエンス・ファンド（為替ヘッジあり）,JP90C0009J49
2834,米国短期ハイ・イールド債券オープン,JP90C0009J56
2835,国際　アジア・リート・ファンド（通貨選択型）為替ヘッジなしコース（毎月決算型）,JP90C0009JC9
2836,国際　アジア・リート・ファンド（通貨選択型）円コース（毎月決算型）,JP90C0009JD7
2837,国際　アジア・リート・ファンド（通貨選択型）インド・ルピーコース（毎月決算型）,JP90C0009JE5
2838,国際　アジア・リート・ファンド（通貨選択型）インドネシア・ルピアコース（毎月決算型）,JP90C0009JF2
2839,ピクテ日本厳選株アルファ・プラス　円コース,JP90C0009JK2
2840,日本物価連動国債ファンド,JP90C0009JN6
2841,ダイワ・トップ・オブ・ジャパン,JP90C0009JP1
2842,通貨選択型ダイワ・トップ・オブ・ジャパン（米ドル投資型）,JP90C0009JQ9
2843,ダイワ外国債券ファンド（年１回決算型）−ダイワスピリット（年１回）−,JP90C0009JU1
2844,ダイワ・エマージング高金利債券ファンド（年１回決算型）,JP90C0009JV9
2845,ダイワ・インドネシア・ルピア債オープン（年１回決算型）,JP90C0009JW7
2846,みずほＵＳハイイールドオープン（年１回決算型）為替ヘッジあり,JP90C0009JX5
2847,みずほＵＳハイイールドオープン（年１回決算型）為替ヘッジなし,JP90C0009JY3
2848,キャピタル・エマージング・ストラテジー・ファンドＡコース（年２回決算／米ドル売り円買い）,JP90C0009K04
2849,キャピタル・エマージング・ストラテジー・ファンドＢコース（年２回決算／為替ヘッジなし）,JP90C0009K12
2850,キャピタル・エマージング・ストラテジー・ファンドＣコース（毎月分配／米ドル売り円買い）,JP90C0009K20
2851,キャピタル・エマージング・ストラテジー・ファンドＤコース（毎月分配／為替ヘッジなし）,JP90C0009K38
2852,ピクテ資源国ソブリン・ファンド（１年決算型）,JP90C0009K46
2853,ＵＢＳグローバルＣＢオープン（毎月決算型・為替ヘッジあり）,JP90C0009K61
2854,ＵＢＳグローバルＣＢオープン（毎月決算型・為替ヘッジなし）,JP90C0009K79
2855,ＵＢＳグローバルＣＢオープン（年１回決算型・為替ヘッジあり）,JP90C0009K87
2856,ＵＢＳグローバルＣＢオープン（年１回決算型・為替ヘッジなし）,JP90C0009K95
2857,グローバル・アロケーション・オープンＡコース（年１回決算・為替ヘッジなし）,JP90C0009KB9
2858,グローバル・アロケーション・オープンＢコース（年４回決算・為替ヘッジなし）,JP90C0009KC7
2859,グローバル・アロケーション・オープンＣコース（年１回決算・限定為替ヘッジ）,JP90C0009KD5
2860,グローバル・アロケーション・オープンＤコース（年４回決算・限定為替ヘッジ）,JP90C0009KE3
2861,ＤＩＡＭ新興企業日本株オープン　米ドル型,JP90C0009KF0
2862,ノムラ　ＴＨＥ　ＥＵＲＯＰＥ　Ｂコース,JP90C0009KJ2
2863,ノムラ　ＴＨＥ　ＥＵＲＯＰＥ　Ａコース,JP90C0009KK0
2864,日興ＪＰＭグローバル中小型株式ディスカバリー・ファンド,JP90C0009KR5
2865,ワールド・リート・セレクション（米国）（１年決算型）,JP90C0009KS3
2866,ワールド・リート・セレクション（米国）為替ヘッジあり（１年決算型）,JP90C0009KT1
2867,アジア・オセアニア好配当成長株オープン（１年決算型）,JP90C0009KU9
2868,アジア・オセアニア債券オープン（１年決算型）,JP90C0009KW5
2869,野村インデックスファンド・海外５資産バランス,JP90C0009L03
2870,野村インデックスファンド・外国ＲＥＩＴ・為替ヘッジ型,JP90C0009L11
2871,野村インデックスファンド・外国債券・為替ヘッジ型,JP90C0009L29
2872,野村インデックスファンド・内外７資産バランス・為替ヘッジ型,JP90C0009L37
2873,米国厳選成長株集中投資ファンドＡコース（為替ヘッジあり）,JP90C0009L45
2874,米国厳選成長株集中投資ファンドＢコース（為替ヘッジなし）,JP90C0009L52
2875,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜円コース＞（毎月分配型）（愛称：スマートスター）,JP90C0009L60
2876,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜米ドルコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009L78
2877,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜豪ドルコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009L86
2878,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜ブラジルレアルコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009L94
2879,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜メキシコペソコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009LA9
2880,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜トルコリラコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009LB7
2881,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜ロシアルーブルコース＞（毎月分配型）（愛称：スマートスター）,JP90C0009LC5
2882,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜円コース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LD3
2883,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜米ドルコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LE1
2884,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜豪ドルコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LF8
2885,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜ブラジルレアルコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LG6
2886,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜メキシコペソコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LH4
2887,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜トルコリラコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LJ0
2888,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜ロシアルーブルコース＞（年２回分配型）（愛称：スマートスター）,JP90C0009LK8
2889,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜マネープールファンドＡ＞（愛称：スマートスター）,JP90C0009LL6
2890,三菱ＵＦＪ　米国バンクローンファンド　通貨選択シリーズ＜マネープールファンドＢ＞（愛称：スマートスター）,JP90C0009LM4
2891,ＵＳリート・インデックス・ファンド（為替ヘッジなし／毎月分配型）,JP90C0009LR3
2892,利回り株チャンス　米ドル型（年４回決算型）,JP90C0009LV5
2893,日興・米国バンクローン・ファンド（為替ヘッジあり）１３−１０,JP90C0009LW3
2894,バンクローン・オープン（円コース）（ＳＭＡ専用）,JP90C0009LZ6
2895,バンクローン・オープン（豪ドルコース）（ＳＭＡ専用）,JP90C0009M02
2896,バンクローン・オープン（米ドルコース）（ＳＭＡ専用）,JP90C0009M10
2897,バンクローン・オープン（ユーロコース）（ＳＭＡ専用）,JP90C0009M28
2898,国内債券ＳＭＴＢセレクション（ＳＭＡ専用）,JP90C0009M36
2899,資源ファンド（株式と通貨）メキシコペソ・コース,JP90C0009M44
2900,資源ファンド（株式と通貨）トルコリラ・コース,JP90C0009M51
2901,資源ファンド（株式と通貨）米ドル・コース,JP90C0009M69
2902,資源株ファンド通貨選択シリーズ＜米ドル・コース＞（毎月分配型）,JP90C0009MA7
2903,しんきん世界アロケーションファンド,JP90C0009MB5
2904,ＧＳ　債券戦略ファンド　Ａコース（毎月決算型、為替ヘッジあり）,JP90C0009MC3
2905,ＧＳ　債券戦略ファンド　Ｂコース（毎月決算型、為替ヘッジなし）,JP90C0009MD1
2906,ＧＳ　債券戦略ファンド　Ｃコース（年２回決算型、為替ヘッジあり）,JP90C0009ME9
2907,ＧＳ　債券戦略ファンド　Ｄコース（年２回決算型、為替ヘッジなし）,JP90C0009MF6
2908,三井住友・公益債券投信（資産成長型）,JP90C0009MU5
2909,三井住友・バンクローン・ファンド（為替ヘッジあり）毎月決算型,JP90C0009MV3
2910,三井住友・バンクローン・ファンド（為替ヘッジあり）年２回決算型,JP90C0009MW1
2911,アムンディ・りそな米国ハイ・イールド債券ファンド（米ドルコース）,JP90C0009N27
2912,アムンディ・りそな米国ハイ・イールド債券ファンド（メキシコペソコース）,JP90C0009N35
2913,アムンディ・りそな米国ハイ・イールド債券ファンド（トルコリラコース）,JP90C0009N43
2914,バンクローン・ファンド（ヘッジなし／年１回決算型）,JP90C0009N76
2915,バンクローン・ファンド（ヘッジあり／年１回決算型）,JP90C0009N84
2916,ダイワ米国国債ファンド　−ラダー１０−　（為替ヘッジあり）,JP90C0009NA5
2917,みずほ日本債券アドバンス（豪ドル債券型）年１回決算コース,JP90C0009NB3
2918,ダイワ米国国債ファンド　−ラダー１０−　（為替ヘッジなし）,JP90C0009NC1
2919,三菱ＵＦＪ／ピムコ　トータル・リターン・ファンド＜米ドルヘッジ型＞（毎月決算型）,JP90C0009NJ6
2920,三菱ＵＦＪ／ピムコ　トータル・リターン・ファンド＜為替ヘッジなし＞（毎月決算型）,JP90C0009NK4
2921,債券総合型ファンド（為替ヘッジあり）（年２回決算型）,JP90C0009NT5
2922,債券総合型ファンド（為替ヘッジなし）（年２回決算型）,JP90C0009NU3
2923,コア投資戦略ファンド（切替型）,JP90C0009NV1
2924,三菱ＵＦＪ／ピムコ　トータル・リターン・ファンド＜米ドルヘッジ型＞（年１回決算型）,JP90C0009NW9
2925,三菱ＵＦＪ／ピムコ　トータル・リターン・ファンド＜為替ヘッジなし＞（年１回決算型）,JP90C0009NX7
2926,ＧＡＲＳファンド,JP90C0009P17
2927,三菱ＵＦＪ　バランス・イノベーション（株式抑制型）（愛称：ファーストラップ（ささえ））,JP90C0009P66
2928,三菱ＵＦＪ　バランス・イノベーション（株式重視型）（愛称：ファーストラップ（ささえ））,JP90C0009P74
2929,三菱ＵＦＪ　バランス・イノベーション（新興国投資型）（愛称：ファーストラップ（ささえ））,JP90C0009P82
2930,グローバル・ソブリン・オープン（資産成長型）（愛称：グロソブＮ）,JP90C0009PB8
2931,フロンティア・ワールド・インカム・ファンド（年１回決算型）,JP90C0009PC6
2932,新光グローバル・ハイイールド債券ファンド（年１回決算型）,JP90C0009PD4
2933,２１世紀東京　日本株式ファンド,JP90C0009PE2
2934,Ｊリート・アジアミックス・オープン（資産成長型）,JP90C0009PF9
2935,ピクテ新興国インカム株式ファンド（１年決算型）,JP90C0009PH5
2936,ＬＭ・オーストラリア債券ファンド（年２回決算型）,JP90C0009PU8
2937,好配当米国株式プレミアム・ファンド　通貨セレクト・プレミアムコース,JP90C0009Q16
2938,ＭＨＡＭ　Ｊ―ＲＥＩＴインデックスファンド（年１回決算型）,JP90C0009Q24
2939,グローバル・バランス・ファンド（安定型）,JP90C0009Q40
2940,グローバル・バランス・ファンド（安定成長型）,JP90C0009Q57
2941,グローバル・バランス・ファンド（成長型）,JP90C0009Q65
2942,ダイワ外国３資産バランス・ファンド（部分為替ヘッジあり）,JP90C0009Q81
2943,ダイワ外国３資産バランス・ファンド（為替ヘッジなし）,JP90C0009Q99
2944,ニッセイ世界リートオープン（毎月決算型）,JP90C0009QA8
2945,ニッセイ世界リートオープン（年２回決算型）,JP90C0009QB6
2946,国際・キャピタル　日本株式オープン（通貨選択型）円コース（１年決算型）,JP90C0009QC4
2947,国際・キャピタル　日本株式オープン（通貨選択型）円コース（毎月決算型）,JP90C0009QD2
2948,国際・キャピタル　日本株式オープン（通貨選択型）米ドルコース（１年決算型）,JP90C0009QE0
2949,国際・キャピタル　日本株式オープン（通貨選択型）米ドルコース（毎月決算型）,JP90C0009QF7
2950,国際・キャピタル　日本株式オープン（通貨選択型）ユーロコース（１年決算型）,JP90C0009QG5
2951,国際・キャピタル　日本株式オープン（通貨選択型）ユーロコース（毎月決算型）,JP90C0009QH3
2952,国際・キャピタル　日本株式オープン（通貨選択型）豪ドルコース（１年決算型）,JP90C0009QJ9
2953,国際・キャピタル　日本株式オープン（通貨選択型）豪ドルコース（毎月決算型）,JP90C0009QK7
2954,国際・キャピタル　日本株式オープン（通貨選択型）ブラジル・レアルコース（１年決算型）,JP90C0009QL5
2955,国際・キャピタル　日本株式オープン（通貨選択型）ブラジル・レアルコース（毎月決算型）,JP90C0009QM3
2956,国際・キャピタル　日本株式オープン（通貨選択型）メキシコ・ペソコース（１年決算型）,JP90C0009QN1
2957,国際・キャピタル　日本株式オープン（通貨選択型）メキシコ・ペソコース（毎月決算型）,JP90C0009QP6
2958,国際・キャピタル　日本株式オープン（通貨選択型）トルコ・リラコース（１年決算型）,JP90C0009QQ4
2959,国際・キャピタル　日本株式オープン（通貨選択型）トルコ・リラコース（毎月決算型）,JP90C0009QR2
2960,国際・キャピタル　日本株式オープン（通貨選択型）ロシア・ルーブルコース（１年決算型）,JP90C0009QS0
2961,国際・キャピタル　日本株式オープン（通貨選択型）ロシア・ルーブルコース（毎月決算型）,JP90C0009QT8
2962,国際・キャピタル　日本株式オープン（通貨選択型）中国元コース（１年決算型）,JP90C0009QU6
2963,国際・キャピタル　日本株式オープン（通貨選択型）中国元コース（毎月決算型）,JP90C0009QV4
2964,国際・キャピタル　日本株式オープン（通貨選択型）南アフリカ・ランドコース（１年決算型）,JP90C0009QW2
2965,国際・キャピタル　日本株式オープン（通貨選択型）南アフリカ・ランドコース（毎月決算型）,JP90C0009QX0
2966,国際・キャピタル　日本株式オープン（通貨選択型）インドネシア・ルピアコース（１年決算型）,JP90C0009QY8
2967,国際・キャピタル　日本株式オープン（通貨選択型）インドネシア・ルピアコース（毎月決算型）,JP90C0009QZ5
2968,国際・キャピタル　日本株式オープン（通貨選択型）マネー・プール・ファンドＩＸ（１年決算型）,JP90C0009R07
2969,国際・キャピタル　日本株式オープン（通貨選択型）マネー・プール・ファンドＸ（年２回決算型）,JP90C0009R15
2970,ジャパン・ソブリン・オープン（資産成長型）（愛称：ジャパソブＮ）,JP90C0009R23
2971,みずほ豪ドル債券ファンド（年１回決算型）,JP90C0009R31
2972,ＤＩＡＭ　Ｊ−ＲＥＩＴアクティブファンド（１年決算型）,JP90C0009R49
2973,りそな　ダイナミック・アロケーション・ファンド,JP90C0009R72
2974,ＵＳストラテジック・インカム・アルファ　毎月決算型,JP90C0009R80
2975,ＵＳストラテジック・インカム・アルファ　年１回決算型,JP90C0009R98
2976,ＢＡＭワールド・ボンド＆カレンシー・ファンド（１年決算型）,JP90C0009RC2
2977,おとなのお財布＜奇数月定額払出型＞,JP90C0009RD0
2978,ピムコ・エマージング・ボンド・オープン　Ｃコース（為替ヘッジなし）（年１回決算型）,JP90C0009RF5
2979,ピムコ・エマージング・ボンド・オープン　Ｄコース（為替ヘッジあり）（年１回決算型）,JP90C0009RG3
2980,ラサール・グローバルＲＥＩＴファンド（１年決算型）,JP90C0009RM1
2981,東京海上Ｒｏｇｇｅ世界ハイブリッド証券ファンド　円コース（年１回決算型）,JP90C0009RP4
2982,東京海上Ｒｏｇｇｅ世界ハイブリッド証券ファンド　米ドルコース（年１回決算型）,JP90C0009RQ2
2983,日興・米国バンクローン・ファンド（為替ヘッジあり）１３−１１,JP90C0009RR0
2984,ニッセイＪ−ＲＥＩＴファンド（年１回決算型）,JP90C0009RS8
2985,ゴールドマン・サックス米国ＲＥＩＴファンドＣコース　年１回決算　為替ヘッジあり,JP90C0009RT6
2986,ゴールドマン・サックス米国ＲＥＩＴファンドＤコース　年１回決算　為替ヘッジなし,JP90C0009RU4
2987,米国ハイ・インカムＢＤＣファンド（毎月決算型）,JP90C0009RZ3
2988,米国ハイ・インカムＢＤＣファンド（年１回決算型）,JP90C0009S06
2989,世界経済インデックスファンド（株式シフト型）,JP90C0009S30
2990,世界経済インデックスファンド（債券シフト型）,JP90C0009S48
2991,東京海上・日本債券オープン（野村ＳＭＡ向け）,JP90C0009S55
2992,ダイワ成長国セレクト債券ファンド（年１回決算型）,JP90C0009S63
2993,アクティブ・リート・ニッポン（毎月分配型）,JP90C0009SA4
2994,投資のソムリエ＜ＤＣ年金＞,JP90C0009SK3
2995,ダイワ・ダブルバランス・ファンド（Ｄガード付／部分為替ヘッジあり）,JP90C0009SL1
2996,ダイワ６資産バランス・ファンド（Ｄガード付／為替ヘッジあり）,JP90C0009SM9
2997,ダイワ６資産バランス・ファンド（Ｄガード付／為替ヘッジなし）,JP90C0009SN7
2998,ダイワ外国３資産アロケーション・ファンド（部分為替ヘッジあり）,JP90C0009SP2
2999,エマージング・ソブリン・オープン（資産成長型）（愛称：エマソブＮ）,JP90C0009SS6
3000,エマージング・ソブリン・オープン（資産成長型）為替ヘッジあり（愛称：エマヘッジＮ）,JP90C0009ST4
3001,ダイワ・インフラビジネス・ファンド　−インフラ革命−　（為替ヘッジあり）,JP90C0009SV0
3002,新光　ＵＳ−ＲＥＩＴ　オープン（年１回決算型）,JP90C0009SW8
3003,ダイワ・インフラビジネス・ファンド　−インフラ革命−　（為替ヘッジなし）,JP90C0009SX6
3004,野村米国ハイ・イールド・ファンド（年１回決算型）為替ヘッジあり,JP90C0009SZ1
3005,野村米国ハイ・イールド・ファンド（年１回決算型）,JP90C0009T05
3006,ＵＢＳ公益・金融社債ファンド（年１回決算型・為替ヘッジあり）,JP90C0009T96
3007,ワールド・リート・オープン（資産成長型）（愛称：ワールド・リートＮ）,JP90C0009TB0
3008,日本Ｊリートオープン（１年決算型）,JP90C0009TE4
3009,ＳＭＴ　ダウ・ジョーンズ　インデックス・オープン,JP90C0009TR6
3010,ＤＩＡＭ　８資産バランスファンドＮ＜ＤＣ年金＞,JP90C0009TU0
3011,ｅＭＡＸＩＳ　新興国リートインデックス,JP90C0009TV8
3012,Ｊ−ＲＥＩＴ・リサーチ・オープン（年２回決算型）,JP90C0009TY2
3013,アリアンツ日本株集中投資戦略ファンド（適格機関投資家専用）,JP90C0009TZ9
3014,米国小型株ツインα（毎月分配型）,JP90C0009U02
3015,米国小型株ツインα（資産成長）,JP90C0009U10
3016,ＵＢＳ日本株式リスク・コントロール・ファンド,JP90C0009U85
3017,三菱ＵＦＪ　米国配当成長株ファンド＜為替ヘッジなし＞（愛称：ザ・レジェンド）,JP90C0009U93
3018,三菱ＵＦＪ　米国配当成長株ファンド＜為替アクティブヘッジ＞（愛称：ザ・レジェンド）,JP90C0009UA0
